SELECT * FROM pokemon;

id  pokemon_name  str  element_id
1   Mew           37   3
2   Cloyster      21   2
3   Clefable      38   5
4   Charmander    43   4
5   Farfetch'd    21   5
6   Clefable      22   3
7   Charmeleon    25   5
8   Onix          37   4
9   Kakuna        10   1
10  Cloyster      20   4
11  Gengar        14   5
12  Vaporeon      9    2
13  Golbat        24   2
14  Venomoth      29   5
15  Machop        25   4
16  Golduck       21   1
17  Electabuzz    14   4
18  Jigglypuff    16   3
19  Poliwhirl     36   1
20  Pidgey        13   2
21  Ditto         41   3
22  Cubone        24   4
23  Vileplume     25   4
24  Kadabra       34   4
25  Rhydon        24   1
26  Mew           42   1
27  Arcanine      18   3
28  Tentacool     39   5
29  Dragonite     19   5
30  Alakazam      32   3
31  Tentacruel    32   1
32  Caterpie      10   1
33  Raichu        15   3
34  Nidoking      42   2
35  Venomoth      10   2
36  Machop        14   3
37  Ditto         11   1
38  Omastar       25   3
39  Primeape      10   2
40  Omanyte       29   1
41  Staryu        32   1
42  Kabuto        43   4
43  Exeggutor     9    4
44  Zapdos        42   5
45  Victreebel    10   5
46  Tentacruel    9    3
47  Moltres       28   5
48  Meowth        11   2
49  Chansey       41   2
50  Rhyhorn       18   5
